State,Democrat,Republican,Other,Year
AL,275075,149231,0,1952
AR,226300,177155,0,1952
AZ,108528,152042,0,1952
CA,2257646,3035587,0,1952
CO,245504,379782,0,1952
CT,481649,611012,0,1952
DE,83315,90059,0,1952
FL,444950,544036,0,1952
GA,456823,198979,0,1952
IA,451513,808906,0,1952
ID,95081,180707,0,1952
IL,2013920,2457327,0,1952
IN,801530,1136259,0,1952
KS,273296,616302,0,1952
KY,495729,495029,0,1952
LA,345027,306925,0,1952
MA,1083525,1292325,0,1952
MD,395337,499424,0,1952
ME,118806,232353,0,1952
MI,1230657,1551529,0,1952
MN,608458,763211,0,1952
MO,929830,959429,0,1952
MS,172566,112966,0,1952
MT,106213,157394,0,1952
NC,652803,558107,0,1952
ND,76694,191712,0,1952
NE,188057,421603,0,1952
NH,106663,166287,0,1952
NJ,1015902,1374613,0,1952
NM,105661,132170,0,1952
NV,31688,50502,0,1952
NY,3104601,3952815,0,1952
OH,1600367,2100391,0,1952
OK,430939,518045,0,1952
OR,270579,420815,0,1952
PA,2146269,2415789,0,1952
RI,203293,210935,0,1952
SC,173004,168082,0,1952
SD,90426,203857,0,1952
TN,443710,446147,0,1952
TX,969228,1102878,0,1952
UT,135364,194190,0,1952
VA,268677,349037,0,1952
VT,43355,109717,0,1952
WA,492845,599107,0,1952
WI,622175,979744,0,1952
WV,453578,419970,0,1952
WY,47934,81047,0,1952
AL,280844,195694,20333,1956
AR,213277,186287,7008,1956
AZ,112880,176990,303,1956
CA,2420135,3027668,18552,1956
CO,263997,394479,4598,1956
CT,405079,711837,205,1956
DE,79421,98057,510,1956
FL,480371,643849,0,1956
GA,441094,216652,5734,1956
IA,501858,729187,3519,1956
ID,105868,166979,142,1956
IL,1775682,2623327,8398,1956
IN,783908,1182811,7888,1956
KS,296317,566878,3048,1956
KY,476453,572192,5160,1956
LA,243977,329047,44520,1956
MA,948190,1393197,7119,1956
MD,372613,559738,0,1956
ME,102468,249238,0,1956
MI,1359898,1713647,6923,1956
MN,617525,719302,3178,1956
MO,918273,914289,0,1956
MS,144498,60685,42966,1956
MT,116238,154933,0,1956
NC,590530,575062,0,1956
ND,96742,156766,483,1956
NE,199029,378108,0,1956
NH,90364,176519,111,1956
NJ,850337,1606942,27033,1956
NM,106098,146788,1040,1956
NV,40640,56049,0,1956
NY,2750769,4340340,2227,1956
OH,1439655,2262610,0,1956
OK,385581,473769,0,1956
OR,329204,406393,0,1956
PA,1981769,2585252,9482,1956
RI,161790,225819,2,1956
SC,136372,75700,88511,1956
SD,122288,171569,0,1956
TN,456507,462288,20609,1956
TX,859958,1080619,14968,1956
UT,118364,215631,0,1956
VA,267760,386459,43759,1956
VT,42549,110390,39,1956
WA,523002,620430,7457,1956
WI,586768,954844,8946,1956
WV,381534,449297,0,1956
WY,49554,74573,0,1956
AK,29809,30953,0,1960
AL,318303,237981,8189,1960
AR,215049,184508,28952,1960
AZ,176781,221241,469,1960
CA,3224099,3259722,22757,1960
CO,330629,402242,3375,1960
CT,657055,565813,15,1960
DE,99590,96373,720,1960
FL,748700,795476,0,1960
GA,458638,274472,239,1960
HI,92410,92295,0,1960
IA,550565,722381,864,1960
ID,138853,161597,0,1960
IL,2377846,2368988,10575,1960
IN,952358,1175120,7882,1960
KS,363213,561474,4138,1960
KY,521855,602607,0,1960
LA,407339,230980,169572,1960
MA,1487174,976750,5556,1960
MD,565808,489538,3,1960
ME,181159,240608,6,1960
MI,1687269,1620428,10400,1960
MN,779933,757915,4039,1960
MO,972201,962221,0,1960
MS,108362,73561,116248,1960
MT,134891,141841,847,1960
NC,713136,655420,0,1960
ND,123963,154310,158,1960
NE,232542,380553,0,1960
NH,137772,157989,0,1960
NJ,1385415,1363324,24372,1960
NM,156027,153733,1347,1960
NV,54880,52387,0,1960
NY,3830085,3446419,14575,1960
OH,1944248,2217611,0,1960
OK,370111,533039,0,1960
OR,367402,408060,959,1960
PA,2556282,2439956,10303,1960
RI,258032,147502,1,1960
SC,198129,188558,1,1960
SD,128070,178417,0,1960
TN,481453,556577,13762,1960
TX,1167567,1121310,22207,1960
UT,169248,205361,100,1960
VA,362327,404521,4601,1960
VT,69186,98131,7,1960
WA,599298,629273,13001,1960
WI,830805,895175,3102,1960
WV,441786,395995,0,1960
WY,63331,77451,0,1960
AK,44329,22930,0,1964
AL,0,479085,0,1964
AR,314197,243264,0,1964
AZ,237753,242535,0,1964
CA,4171877,2879108,0,1964
CO,476024,296767,0,1964
CT,826269,390996,0,1964
DC,169796,28801,0,1964
DE,122704,78078,0,1964
FL,948540,905941,0,1964
GA,522557,616584,0,1964
HI,163249,44022,0,1964
IA,733030,449148,0,1964
ID,148920,143557,0,1964
IL,2796833,1905946,0,1964
IN,1170848,911118,0,1964
KS,464028,386579,0,1964
KY,669659,372977,0,1964
LA,387068,509225,0,1964
MA,1786422,549727,0,1964
MD,730912,385495,0,1964
ME,262264,118701,0,1964
MI,2136615,1060152,0,1964
MN,991117,559624,0,1964
MO,1164344,653535,0,1964
MS,52618,356528,0,1964
MT,164246,113032,0,1964
NC,800139,624844,0,1964
ND,149784,108207,0,1964
NE,307307,276847,0,1964
NH,184064,104029,0,1964
NJ,1867671,963843,0,1964
NM,194017,131838,0,1964
NV,79339,56094,0,1964
NY,4913156,2243559,0,1964
OH,2498331,1470865,0,1964
OK,519834,412665,0,1964
OR,501017,282779,0,1964
PA,3130954,1673657,0,1964
RI,315463,74615,0,1964
SC,215700,309048,0,1964
SD,163010,130108,0,1964
TN,634947,508965,0,1964
TX,1663185,958566,0,1964
UT,219628,180682,0,1964
VA,558038,481334,0,1964
VT,108127,54942,0,1964
WA,779881,470366,0,1964
WI,1050424,638495,0,1964
WV,538087,253953,0,1964
WY,80718,61998,0,1964
AK,35411,37600,10024,1968
AL,196579,146923,691425,1968
AR,184901,189062,235627,1968
AZ,170514,266721,46573,1968
CA,3244318,3467664,487270,1968
CO,335174,409345,60813,1968
CT,621561,556721,76650,1968
DC,139566,31012,0,1968
DE,89194,96714,28459,1968
FL,676794,886804,624207,1968
GA,334440,380111,535550,1968
HI,141324,91425,3469,1968
IA,476699,619106,66422,1968
ID,89273,165369,36541,1968
IL,2039814,2174774,390958,1968
IN,806659,1067885,243108,1968
KS,302996,478674,88921,1968
KY,397541,462411,193098,1968
LA,309615,257535,530300,1968
MA,1469218,766844,87088,1968
MD,538310,517995,178734,1968
ME,217312,169254,6370,1968
MI,1593082,1370665,331968,1968
MN,857738,658643,68931,1968
MO,791444,811932,206126,1968
MS,150644,88516,415349,1968
MT,114117,138835,20015,1968
NC,464113,627192,496188,1968
ND,94769,138669,14244,1968
NE,170784,321163,44904,1968
NH,130589,154903,11173,1968
NJ,1264206,1325467,262187,1968
NM,130081,169692,25737,1968
NV,60598,73188,20432,1968
NY,3378470,3007932,358864,1968
OH,1700586,1791014,467495,1968
OK,301658,449697,191731,1968
OR,358866,408433,49683,1968
PA,2259405,2090017,378582,1968
RI,246518,122359,15678,1968
SC,197486,254062,215430,1968
SD,118023,149841,13400,1968
TN,351233,472592,424792,1968
TX,1266804,1227844,584269,1968
UT,156665,238728,26906,1968
VA,442387,590319,321833,1968
VT,70255,85142,5104,1968
WA,616037,588510,96990,1968
WI,748804,809997,127835,1968
WV,374091,307555,72560,1968
WY,45173,70927,11105,1968
AK,32967,55349,0,1972
AL,256923,728701,0,1972
AR,198899,445751,0,1972
AZ,198540,402812,0,1972
CA,3475847,4602096,0,1972
CO,329980,597189,0,1972
CT,555498,810763,0,1972
DC,127627,35226,0,1972
DE,92283,140357,0,1972
FL,718117,1857759,0,1972
GA,289529,881496,0,1972
HI,101409,168865,0,1972
IA,496206,706207,0,1972
ID,80826,199384,0,1972
IL,1913472,2788179,0,1972
IN,708568,1405154,0,1972
KS,270287,619812,0,1972
KY,371159,676446,0,1972
LA,298142,686852,0,1972
MA,1332540,1112078,0,1972
MD,505781,829305,0,1972
ME,160584,256458,0,1972
MI,1459435,1961721,0,1972
MN,802346,898269,0,1972
MO,698531,1154058,0,1972
MS,126782,505125,0,1972
MT,120197,183976,0,1972
NC,438705,1054889,0,1972
ND,100384,174109,0,1972
NE,169991,406298,0,1972
NH,116435,213724,0,1972
